@relation 'twitter'
@attribute 'klout_score' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100}
@attribute 'followers_count' numeric
@attribute 'friends_count' numeric
@attribute 'retweet_count' numeric
@attribute 'favorite_count' numeric
@attribute 'statuses_count' numeric
@attribute 'default_profile_image' {1,0}
@data
91,5618429,157,0,0,21334,0
57,41291,887,11,17,35222,0
38,1168,1805,0,0,69872,0
37,28893,367,1,2,1105,0
80,358153,501,42,92,132992,0
87,1313384,273,1221,2448,10277,0
44,1455,295,0,0,117463,0
41,1548,757,0,0,65471,0
38,947,800,0,0,46100,0
53,2694,2156,1,2,22900,0
40,1415,1217,0,0,24703,0
37,423,792,1,0,6982,0
25,115,388,1,0,618,0
45,833,792,0,0,15889,0
21,197,174,0,0,1258,0
52,2545,2812,0,0,53023,0
63,126252,10142,6,20,15580,0
16,154,141,0,0,4104,0
26,1560,295,0,1,17111,0
22,615,338,0,0,8619,0
34,3253,1033,0,0,120954,0
18,864,660,0,0,25705,0
29,258,145,0,0,1329,0
28,126,202,1,3,2828,0
76,6523,550,4,18,9044,0
78,155845,598,4,10,10133,0
21,1485,1064,0,0,43759,0
69,267246,138153,82,114,38625,0
83,1413575,2018,38,35,10698,0
59,34816,1405,2,15,265,0
41,1236,1473,0,0,871,0
86,2395278,9782,81,135,14432,0
68,76346,967,17,57,33496,0
17,266,136,0,0,3359,0
68,337850,9686,57,88,27321,0
65,137776,880,4,14,15029,0
40,406,455,0,0,9964,0
62,750200,455650,303,340,9430,0
44,389,787,0,0,29985,0
52,38202,618,8,33,4852,0
57,46177,19016,5,20,63369,0
28,1012,765,0,0,3795,0
22,592,998,0,0,9001,0
33,335,350,0,1,13949,0
31,575,409,0,0,16210,0
90,8012432,202,20570,21678,1028,0
33,1715,2122,0,0,156641,0
38,376,276,0,0,8257,0
42,962,700,0,0,14003,0
60,23931,311,0,1,13048,0
74,452281,1340,19,21,32646,0
56,53387,3,9,23,583,0
80,293520,147,75,122,56308,0
52,49652,390,27,77,6005,0
86,879353,604,22,46,112304,0
12,612,651,0,0,14515,0
33,1294,874,0,1,39619,0
26,1043,1156,0,0,25580,0
45,853,388,0,0,34453,0
14,191,326,0,0,2355,0
14,486,764,0,0,8863,0
74,4640323,6973,1566,1670,32105,0
78,509058,1031,49,548,14919,0
28,4765,3321,0,1,36617,0
17,198,229,0,0,15658,0
41,8972,386,39,28,568,0
35,722,417,0,0,38548,0
58,105823,4,605,810,445,0
41,2966,2297,0,0,96083,0
33,355,300,0,0,12862,0
22,466,442,0,0,15562,0
31,7260,1687,0,0,1346,0
46,1395,748,0,0,37153,0
78,135749,2072,156,273,129882,0
60,87494,1,74,235,4769,0
27,1595,831,0,0,48750,0
27,463,552,1,4,826,0
81,172662,403,19,45,66484,0
24,465,481,0,0,7504,0
45,1142,675,0,0,15090,0
42,335,246,0,0,13184,0
65,257481,43,81,149,2202,0
44,1096,882,0,0,44845,0
44,1362,490,1,1,6340,0
18,181,173,0,1,1281,0
13,225,314,0,0,2785,0
32,1898,1784,0,0,58646,0
69,482706,2006,265,596,53359,0
40,2934,2084,0,0,136968,0
44,71034,0,8,8,9616,0
60,24565,1591,1,2,4512,0
43,3938,2764,0,0,19911,0
78,1098613,1869,763,751,18211,0
47,2517,1181,0,0,103833,0
20,983,854,0,0,13242,0
81,337034,31335,60,218,49984,0
17,415,349,0,0,6143,0
42,272,306,0,0,3900,0
63,75363,1,79,153,3607,0
45,2012,2031,0,0,71226,0
14,205,122,0,0,7609,0
67,307667,316,183,216,33957,0
89,10069355,0,2654,4951,1156,0
74,464658,298,91,177,9035,0
66,51365,13,9,18,19035,0
39,1550,697,0,0,29046,0
61,166363,247,29,49,1740,0
45,5222,551,0,1,6912,0
80,369890,355,43,113,6539,0
16,661,801,0,0,4626,0
79,35982,98,2,5,11448,0
40,473,884,0,0,9727,0
51,24198,1579,1,1,12994,0
35,4055,1083,0,0,137433,0
89,2283969,90,304,1635,1362,0
62,27251,492,1,2,5057,0
68,676945,120,156,214,567,0
46,135429,9635,0,2,113947,0
57,38494,6872,21,69,24801,0
79,130520,6093,56,133,42430,0
31,776,735,0,0,20873,0
80,367462,811,8,16,58491,0
13,70,117,0,0,1157,0
48,10498,1458,3,3,20712,0
36,8258,8913,0,0,72043,0
62,173716,3,104,226,2787,0
81,1875520,189,97,170,4450,0
78,58207,2159,4,7,84477,0
79,101984,1589,9,13,8720,0
22,836,710,0,0,31150,0
36,718,795,0,0,21232,0
25,2236,1426,1,0,24085,0
16,696,523,1,0,4931,0
39,1964,1693,1,0,58995,0
38,2000,705,0,0,103316,0
41,25267,318,125,116,30620,0
46,8490,840,2,1,29862,0
26,5380,3415,0,0,5594,0
82,957213,487,1306,2274,9220,0
63,136668,5887,3,8,103796,0
58,62492,48,186,376,6638,0
30,504,441,0,2,7998,0
79,554411,461,56,285,38856,0
52,31472,106,22,52,7171,0
37,1030,699,0,0,82248,0
56,11979,810,2,9,36263,0
93,816656,36524,71,124,232576,0
63,59006,1184,15,30,42380,0
45,10942,682,0,2,23027,0
38,1033,568,0,0,77166,0
44,1358,468,0,5,38283,0
47,1597,1035,1,0,86812,0
34,235,329,0,0,20131,0
29,552,400,0,0,16052,0
59,20115,149,3,1,7855,0
70,97561,1572,14916,9328,7841,0
41,944,412,0,0,51492,0
12,470,428,0,0,9049,0
25,2219,1584,0,0,84078,0
93,15984656,1,13804,22841,246,0
46,1943,813,0,0,61803,0
19,1013,750,0,0,5008,0
48,2639,1662,0,0,70131,0
85,12362351,1,196,466,103296,0
43,532,464,0,0,7079,0
25,321,283,0,0,6076,0
19,272,208,0,1,5458,0
78,1096567,1967,30,64,25052,0
44,27954,11211,1,2,15511,0
42,3397,994,0,0,73972,0
24,1253,847,0,0,49403,0
87,655545,605,726,1103,2628,0
27,3383,388,2,0,37999,0
59,15447,1015,2,2,43925,0
16,527,654,0,0,47033,0
50,17252,912,0,1,18407,0
48,19674,316,87,172,24732,0
40,1609,992,0,0,69045,0
29,2258,1464,0,0,76604,0
26,285,220,0,0,15607,0
84,688549,3,236,502,2436,0
19,406,229,0,0,454,0
43,2830,563,0,0,76252,0
82,256874,967,99,157,35810,0
59,52814,329,3,4,1994,0
18,224,290,0,0,2562,0
78,1065611,322,2189,3827,356,0
18,881,1474,0,0,6021,0
34,1921,1536,0,0,39989,0
70,347234,324,4,25,21002,0
40,1538,1430,0,0,79595,0
85,3110697,1102,5109,10100,2155,0
37,1625,1521,0,0,22897,0
33,692,1637,0,0,3550,0
14,449,495,0,0,31210,0
19,647,527,0,1,9684,0
35,723,397,0,0,23826,0
16,917,602,0,0,39469,0
23,920,801,0,0,12283,0
48,3035,879,0,0,111561,0
14,379,428,0,0,7422,0
94,4549706,70,247,442,33109,0
34,2084,238,0,0,26298,0
20,901,576,0,0,24297,0
83,588477,2368,263,315,71842,0
44,11044,1882,0,0,28130,0
16,740,511,0,0,10885,0
27,496,402,1,1,514,0
77,121213,301,2,7,7312,0
88,8038822,956,381,926,3502,0
42,5686,465,0,0,9570,0
19,2056,1607,0,0,53053,0
20,1692,1587,0,0,18419,0
15,352,497,0,0,6519,0
69,495410,902,19,66,12111,0
85,2470787,310,140,317,4138,0
36,325,794,0,0,2700,0
48,62269,3835,0,0,228229,0
43,19730,251,0,0,19808,0
63,444174,249,125,164,5074,0
14,107,134,0,0,1585,0
20,1667,1536,1,0,44617,0
23,759,827,0,0,31380,0
63,122653,628,1,1,29905,0
98,1688720,10754,61,76,122101,0
80,3000600,1380,10,16,137819,0
87,1152643,434,8,18,32631,0
40,8528,362,0,0,24289,0
32,771,854,0,0,32009,0
20,371,617,0,0,2998,0
46,190915,603,55,14,4015,0
83,1116988,45,33,138,287,0
17,1530,1101,0,0,40431,0
24,607,878,0,0,1678,0
38,2464,2776,0,0,88791,0
22,548,584,0,0,36268,0
61,174671,25,0,1,18986,0
97,13177064,31945,115,354,146897,0
60,164640,861,0,1,41164,0
31,2026,1561,0,0,39431,0
15,410,338,0,0,8008,0
45,9096,769,1,1,40131,0
14,126,124,0,0,2651,0
92,3914989,2262,46,146,33867,0
42,3955,2854,0,0,206162,0
69,1067441,135,137,139,60444,0
25,638,645,0,0,12096,0
14,95,99,0,0,1278,0
22,674,1270,0,0,3766,0
32,1467,1188,0,0,71480,0
15,216,165,0,0,3352,0
42,4951,1126,0,0,17656,0
79,5306319,1520,5806,4654,34575,0
20,569,481,0,0,39779,0
84,911522,474,6,23,42032,0
46,2327,2119,0,0,278319,0
38,601,285,0,0,8075,0
28,5196,5010,2,1,16040,0
69,1194009,268,69,132,2296,0
50,10873,981,1,1,2756,0
70,299081,765,49,100,6957,0
49,6602,1243,0,0,30351,0
88,1374400,838,11,24,49131,0
15,701,338,0,0,10519,0
39,930,530,1,1,33354,0
86,5054440,1090,223,813,30546,0
39,1153,1022,0,0,41341,0
16,1519,942,0,0,58355,0
37,4810,1326,0,0,31388,0
74,176642,46,227,229,1290,0
41,2757,1736,1,0,85061,0
47,8558,1078,1,1,97306,0
33,1589,1687,0,0,26456,0
51,8825,1843,1,0,76498,0
16,457,410,0,0,15535,0
16,1580,1975,0,0,10400,0
26,2740,2362,1,0,21781,0
33,1565,1123,0,0,42658,0
52,2804,706,0,3,106607,0
65,873641,151,2,4,55943,0
42,16289,15306,0,0,7675,0
30,137,493,0,0,3606,0
14,773,335,0,0,44300,0
85,1739555,655,192,445,9243,0
92,8558450,531,38,118,33093,0
38,3825,4263,0,0,41988,0
81,4437030,1062,19,49,75607,0
29,1603,1660,0,0,67084,0
17,444,388,0,0,11796,0
44,1473,1087,0,0,37554,0
39,2557,2192,0,0,140543,0
19,408,483,0,0,2869,0
19,959,750,1,0,84754,0
25,1085,1193,0,0,16429,0
63,135415,2108,9,26,28567,0
38,1205,876,0,0,26093,0
17,936,1201,0,0,25415,0
82,3074649,1217,23,53,21606,0
43,22176,4262,0,0,137724,0
14,705,465,0,0,41447,0
90,50607976,36615,1439,4573,11449,0
41,1540,643,0,0,81081,0
21,762,659,0,0,44409,0
31,2408,1695,0,0,47531,0
54,15662,865,1,2,15679,0
39,603,422,0,0,59216,0
39,14362,2623,3,0,6119,0
33,1643,1191,0,0,55944,0
21,2995,2868,0,0,48784,0
20,1226,642,0,0,22847,0
79,1198055,1307652,4,34,146306,0
42,3267,1843,0,0,92102,0
43,2635,1774,0,0,36454,0
36,3402,1235,0,0,34930,0
94,1105685,219,114,282,19263,0
32,902,765,0,0,74650,0
20,387,249,0,0,6332,0
45,1308,1320,0,0,72237,0
16,650,541,0,0,27483,0
44,1629,409,1,0,121791,0
22,1263,1035,0,0,24047,0
30,1218,783,0,0,23810,0
22,475,381,0,0,16024,0
26,1302,1760,1,0,11186,0
32,620,242,0,0,10700,0
23,1557,1008,0,0,37724,0
90,616770,4412,126,181,212188,0
38,1039,700,0,0,65339,0
18,951,783,0,0,20790,0
25,1241,1489,0,0,18636,0
17,855,731,0,0,23064,0
20,277,609,0,0,11513,0
39,34572,32686,0,1,30365,0
25,761,790,0,0,8371,0
49,2282,693,0,0,231662,0
45,3070,2309,1,1,115271,0
64,150893,1326,1,2,30481,0
37,5379,3262,0,0,43357,0
25,1193,892,0,0,39168,0
38,9576,8438,1,1,35356,0
70,306304,1847,33,40,47780,0
25,1565,1037,0,0,34563,0
88,37451575,123,5069,14569,20470,0
40,1686,1217,0,0,215782,0
92,52902976,131480,4830,8054,7124,0
93,70850347,245668,11020,21055,30395,0
93,53231664,1151,6256,11534,9741,0
36,698,483,0,0,34693,0
36,1986,1359,0,0,19889,0
22,408,190,0,0,2303,0
21,900,663,0,0,11534,0
42,127686,160095,0,0,56856,0
28,3137,730,0,0,91445,0
37,988,911,0,0,72872,0
41,3829,2716,1,0,181604,0
27,2539,1212,0,0,121676,0
39,1428,700,18,6,26949,0
40,11240,8284,0,0,34363,0
38,2543,857,0,0,83506,0
21,925,720,0,0,11718,0
39,935,447,0,0,24304,0
19,1095,475,0,0,25355,0
29,1451,877,0,0,55898,0
41,3529,3843,0,0,137405,0
44,10022,2795,0,1,54712,0
42,3446,1076,0,0,82735,0
79,866404,490,97,135,67185,0
83,3176505,538,136,418,11500,0
42,31426,1625,0,0,16945,0
44,2013,1295,0,0,65319,0
21,1088,821,0,0,69028,0
25,1090,912,0,0,63051,0
24,1393,1248,0,0,26595,0
84,27075589,643,21898,27539,1661,0
41,3038,1029,1,0,56052,0
43,3787,2500,2,0,106476,0
82,501640,61771,19,86,12886,0
40,1167,807,0,0,114537,0
17,796,831,0,0,26208,0
92,24955866,43,5829,7154,1329,0
19,1040,942,0,0,33730,0
27,999,799,0,0,39408,0
42,2123,722,0,0,106957,0
45,16941,1079,1,7,62243,0
48,4865,555,0,1,70274,0
20,376,249,0,0,9143,0
23,932,523,0,0,27338,0
43,1177,860,0,0,18782,0
23,1694,811,0,0,82045,0
34,579,457,0,0,16639,0
40,27235,990,0,1,62998,0
22,733,425,0,0,34090,0
18,538,633,0,0,72390,0
32,2057,2256,0,0,43032,0
29,3438,1538,1,0,184123,0
23,615,381,0,0,22656,0
45,2825,782,0,0,361,0
27,2060,601,1,0,31948,0
46,3345,511,0,0,14223,0
38,2292,1664,1,0,59013,0
38,1050,797,0,0,44623,0
40,2799886,297,7,12,52443,0
19,663,578,0,0,16776,0
67,107090,935,5,12,35588,0
21,1061,385,0,0,32526,0
38,1606,814,0,0,81026,0
41,699,551,0,0,11229,0
90,20259906,3741,1814,4069,36018,0
21,533,270,0,0,22644,0
38,1128,813,0,0,121182,0
92,78556774,158,5242,11625,6757,0
86,4810453,876,110,158,111826,0
90,10774575,1735,28,54,31733,0
88,22326540,727,2467,5087,39131,0
65,100278,20929,0,2,378563,0
35,205,935,0,0,9360,0
32,501,4119,1,2,40,0
34,12967,214,0,0,395,0
26,107,544,0,0,2057,0
41,1652,4135,0,0,24581,0
57,70904,26767,0,0,12316,0
29,1819,2461,0,6,92,0
41,213,429,0,1,1656,0
35,396,609,0,0,16978,0
42,11301,10366,0,0,2149,0
60,2981,1038,278,227,21,0
26,132,268,0,0,273,0
49,9312,8785,2,2,2053,0
40,523,271,1,1,19029,0
47,2665,993,2,4,19323,0
36,1631,773,0,0,86156,0
30,26,53,0,0,33,0
38,6056,1610,0,0,15364,0
31,230,179,0,0,3045,0
37,201,413,0,0,3520,0
24,10,29,0,0,53,0
40,1068,5001,0,0,310,0
43,13048,12719,0,0,20422,0
56,37817,8639,10,25,1649,0
41,31,62,0,0,1121,0
33,9254,95,1,2,216,0
17,30,92,0,0,166,0
45,15723,3303,501,386,89,0
46,3980,3089,0,0,2253,0
31,521,1776,0,0,13,0
48,11441,6978,0,0,30758,0
34,80,131,0,0,209,0
19,76,692,0,1,29,0
25,295,326,0,0,13470,0
16,145,370,0,0,1491,0
22,161,944,0,0,8,0
39,3135,2510,1,0,109268,0
39,85,323,0,0,1878,0
16,20,448,0,0,79,0
12,17,403,0,0,77,0
38,5262,4863,2,10,43,0
35,352,368,0,0,819,0
47,230,300,0,0,2969,0
28,468,803,0,0,16039,0
36,1174,1312,0,0,19608,0
65,18083,1456,9,17,12811,0
44,2274,1516,0,0,1794,0
26,179,223,1,1,317,0
23,263,1329,0,0,21,0
48,150968,89282,4,6,36595,0
35,477,1093,0,1,2523,0
31,522,400,2,2,868,0
26,2083,448,0,0,17215,0
31,475,1768,0,0,15618,0
41,762,885,0,1,13910,0
41,1744,526,0,0,14760,0
